,text,label,label_num
0,kunjung prabowo resmi serah proyek bantu air bersih lima titik indonesiasentris indonesiahijau 02melanjutkan anakmudaindonesiaemas prabowo subianto,Sumber Daya Alam,0
1,anies tepuk tangan riah rektor wajib mata kuliah antikorupsi putus mata rantai korupsi aminmiskinkankoruptor,Politik,1
2,emng bener dukung 01 goblok dukung 02 hnya sj pak ridwan kamil skema balik 01 mayoritas didik tengah atas arti didik rendah milih,Demografi,2
3,waktu anies sikap kritis kerja pak prabowo anggap engga sopan anggap kurang hormat orang tua gilir gibran tengil sok kritis malah anggap kritis keras standar ganda,Politik,1
4,anies baswedan harap asn masuk tni polri pegang sumpah milu,Politik,1
5,duh jangan pak lurah denger acara hajat rakyat puluh ribu warga kendal seru ganjar presiden hadir jadi magnet puluh ribu warga datang hadir hajat rakyat ganjarmahfud besar antusiasme warga jadi bukti jawa tengah tetap jadi kandang banteng ganjarmahfud2024 tabrakprofmahfud,Politik,1
6,prabowo minta kemenhan tim satgas air unhan kaji bantu air sukabumi dekade08 prabowo gibran,Pertahanan dan Keamanan,3
7,anies allah sibuk orang zalim jahat orang zalim lain,Politik,1
8,abah bapa bapa ikan perhati didik anak anak papua pintar pintar gera indonesia ajar tak lupa sama warga papua bapa anies presiden,Politik,1
9,bawaslu maki jancuk sama warga gara copot spanduk ganjar mahfud spanduk capres copot bawaslu rasa tim sukses asalbukanprabowo ordebarureborn,Politik,1
10,beberapa isu basi kait fakta benar lihat beberapa antara anies ganti pancasila sistem khilafah kait toleransi bagai anut agamaanies blunder soal data rumah ibadah jakarta anies khianat prabowo capres benar fakta atas suatu jelas tetap disangkalentah niat jahat nafsu penting pribadibenar seringkali buta bukan mata hati buta,Ideologi,4
11,ganjar pranowomahfud md tekan penting siap butuh dasar alutsista tiga matra darat laut udaraganjar mahfud m3nang ganjarmahfudrebound ganjarpranowopilihanumat jnk temanalamganjar atikohibunegara apri0801,Pertahanan dan Keamanan,3
12,calon presiden capres nomor urut 1 anies baswedan siap mampu hadap debat tiga debat tiga sangkut tema soal tahan aman hubung internasional geopolitik download metrotvxtend app store play store aniesbaswedan pemilu2024 debatcapres,Pertahanan dan Keamanan,3
13,capres ganjar pranowo punya rencana besar bakal sinergi sama guru tinggi buat program bawa ubah positif ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,1
14,dapat apbd jumbo paling besar indonesia capai rp 77,Ekonomi,5
15,nyata timbul hancur pribadi isi penuh benci ayahbowo adalahkita timbul dampak emosional pilih munculfenomenapakbowo dukungantulus untuk02,Politik,1
16,mas ganjar bawa data ngasih tanya dasar data jawab pak prabowo bilang data mas ganjar salah pak prabowo bilang data salah wajar mas ganjar minta tunjuk mana data benar urus sama waktu singkat,Politik,1
17,trending twitter x anies bubble roket fenomena fans kpop join amin isme,Sosial Budaya,6
18,wait wait pak bukti pak anies guna politik identitas bukankah justru ahok terang terang bahkan pilkada mantik selisih misal guna password wifi kata kafir pikir adil memang sulit pak,Politik,1
19,siti atikoh unjung kantor tpd ganjarmahfud sumatera selatan atikoh dapat kejut sandang tuna rungu simpatisan ganjarmahfud hari tuna rungu nasional 2024 atikoh beri kejut upa kaos warna merah tulis ibu negara indonesia bagi depan tak beri kejut atikoh ajar bahasa isyarat pdiperjuangan hutpdiperjuanganke51 kebenaranpastimenang satyamevajayate ganjarmahfud2024 menangkanganjar nomor3pilihanku,Politik,1
20,abah anies angkat martabat tani terus terus terima bansos hasil cukup aminajadulu,Sosial Budaya,6
21,calon presiden ri ganjar pranowo yakin sama mahfud md regulasi hukum investasi bakal lebih mudah paham semua pihakganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,1
22,pak michael gaya bicara keras kes emosional tetap isi usah jangan arti prabowo guna keras militer orang sifat anies pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,Politik,1
23,paslon 03 ganjar pranowo yakin sama mahfud md regulasi hukum investor indonesia bakal lebih sahabat terukurganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,1
24,anies sosok ayah penuh hangat pak mmg sosok ayah penuh hangat lihat tayang video tangan lentur banget gendong anak kecil tampak luwes ngga kaku ngga buatbuat anakanaknya sering rasa gendong peluk peluk beliau kuat sejati tenang peluk ayah aniesbubble aniesmuhaimin2024,Pertahanan dan Keamanan,3
25,capres ganjar pranowo mainmain kolaborasi guru tinggi buat program edukatif oke punya ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,1
26,projo kawal prabowo gibran menang sekali putar projo jokowi setiadigarisrakyat,Politik,1
27,tempodotco semangat pak selalu m3nddukung mu ganjar mahfud hebat coblos3 3gm ganjarmahfudm3nangdebat debatcapres,Politik,1
28,anies sesuai selera masyarakat sumatera barat,Sosial Budaya,6
29,abah anies baswedan amp ibu fery farhati tiba pekanbaru kampanye akbar dua hari,Politik,1
30,atikoh kan solusi ganjarmahfud atas harga pangan naik,Politik,1
31,gilir buruh soloraya deklarasi dukung prabowogibran soloraya indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan,Politik,1
32,capres cawapres ganjar pranowo mahfud md ajak semua pihak satu jaga konstitusi atur dasar negarajnk ganjarmahfudrebound ganjarpranowopilihanumat,Ideologi,4
33,raja dangdut pak haji rhoma irama tanya seni film pak anies pilih presiden desak anies amp slepet imin jiexpo mayor jakarta pusat hari senin 29 januari 2024,Politik,1
34,capres ganjar pranowo beri ruang masyarakat beri masuk saran evaluasi pasal karet uu itejnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,1
35,musuh utama gen z anies tekad basmi praktik ordal terima tenaga kerja sektor swasta amp perintah tega atur aminajadulu,Politik,1
36,debat caprescawapres ke3 anies nyata nilai kemenhan laksana bijak nilai 11 100 menteri layak paslon 01,Politik,1
37,pasang duet capres cawapres ganjar pranowo mahfud md motor ubah kredit 35 koprasi umkm andal bisnis lokal sukses terus temantemanjn18a jnk ganjarmahfudrebound ganjarpranowopilihanumat,Ekonomi,5
38,anak muda indonesia future nation hand time change anies presidentsampaikan sampai teman lain saat adu ide amp gagasantunjukan karyakarya pak anies ubah indonesia lebih baik,Ideologi,4
39,pak aniess post reached 26000 likes 1350573 dialog capres w kadin tvonenews youtube 1 days 15 hour 27 minutes fastest highest post reach 26k likes 13m likes among capress members anies aniesatkadin,Sosial Budaya,6
40,according prabowo gaza opressed dont sufficient military power tonedeaf statement coming mister defense,Pertahanan dan Keamanan,3
41,kejam warga situ sedia bangun jis janji anies memabngun rumah susun stlh rumah bangun mrk beri hak padahal anies selaku gubernur sll tepat janji kampung akuarium kampung kunir apa salah rakyat dapat rmh,Sosial Budaya,6
42,prabowogibran terap 17 program lancar ekonomi biru internasional kontan menangseputaran,Ekonomi,5
43,viral anies baswedan ancam tembak tim hukum amin siap tempuh jalur hukum,Pertahanan dan Keamanan,3
44,kasihan dukung prabowo udah bela bain masuk penjara aku,Politik,1
45,tempodotco ayo ganjar tuntas masalah indonesia m3nang semuakerja ganjar mahfud hebat coblos3 3gm dulujokowisekarangganjar ayahbowo adalahkita,Politik,1
46,wiranto langsung gerak cepat beri dukung prabowo gibran wirantogaspoldukung02,Politik,1
47,gua beneran sedih banget orang susah terima fakta prabowo war criminal zionist kek theres many possibilities beliau pilih bakal regress demokrasi bakal lebih otoriter bahkan banyak menteri progresif depak,Politik,1
48,laut manusia sambut capres nomor urut 1 anies baswedan laksana giat kampanye bone sulawesi selatan sulsel rabu 1712024 anies temu masyarakat bone lapang sepak bola cina kampanye kali cukup spesial lantar tani eks wakil presiden jusuf kalla jk lihat laut manusia antusias sapa anies buat rasa takjub tegas uang obar semangat simak berita lengkap hardnews politik newsone cariberitaditvone no01 aniesbaswedan kampanye viralbone pilpres2024 politik kamikabarkanandaputuskan maumemilih tvonetvpemilu,Politik,1
49,baru kali capres mau peluk orang papua cium tangan anakanak papua biar rakyat nilai ngaruh tetap prabowo istirahat anies deserve better abahanies cakimin,Politik,1
50,yakin vote aniesmuhaimin 14 februari 2024 silah retweet nakesdesakanies,Politik,1
51,data manaaaaa data lahan pak prabowo bagi rahasia tahan index peringkat baca pak ganjar rahasia tahan astagaaaa,Pertahanan dan Keamanan,3
52,video rekam 5 april 2014 acara adil anies presiden cita cita anies value pikir bawa gagas pak anies memang pikir orang negarawan dulu jarang dengar pemikiran2 macam beliau negeri guys aminajadulu,Politik,1
53,pak ganjar prof mahfud oleh dukung luas berani hadap dinamika g3opolitik duga ganjarmahfud2024 dulujokowisekarangganjar coblos3,Politik,1
54,jk ungkap tanah bob hasan milik prabowo,Politik,1
