,IDText,text
0,TXT0001,lu mau org2 prodemokrasi negara punya sempat buat ngelawan oligarki indo pilih amin jangan pilih pks pilih partai buruh jangan pilih prabowo semua partai usung pilih gama jangan pilih pdip pilih partai buruh
1,TXT0002,prabowo tanya soal hutang luar negeri jawab hutang luar negeri indonesia hitung rendah tak khawatir intervensi asing akibat hutang krisis moneter 1997 orde baru ban ganjar hutang luar negeri infrastruktur bahaya baju ganjar matching tema debat anies tegas normal hutang luar negeri aman tak lebih 30 gdp hutang pakai menhan beli alutsista bekas suatu kesiasiaan prabowo tak merespon soal alutsista bekas beli baru uang keluar lebih besar
2,TXT0003,kiki daliyo ganjar pranowo beliau sosok mengagunhkan nilai nilai pancasila banyak beri sadar baik buat semua ganjarmerawatpancasila mahfud hebat mahfudlebihbaik3 ganjarmahfud2024 3mandatganjarmahfud l3bihbaik happy new year
3,TXT0004,prabowo gibran laku semua sejahtera rakyat
4,TXT0005,justru nyambung junjung elu aomkmkmkmk ngomongin etika ngatain pak anies omon omon nyenyek gimana pak anies sopan lho ngakak brutal pasang wajah ejek waktu asbun hutang 50 nyuruh ajar ekonomi
5,TXT0006,nelayan tak terus jebak kredit macet ganjar pranowo mahfud md sama buka pintu bebas nelayankebebasan ganjarpranowopilihanumat ganjarmahfudrebound jnk
6,TXT0007,prabowo anti bebas pers
7,TXT0008,kontrak buka ganjar pranowo cermin peduli semua yuk sama jaga daulat panganjnk ganjarmahfudrebound ganjarpranowopilihanumat
8,TXT0009,ganjar mahfud hebat coblos3 3gm ganjarmahfud2024 pak ganjar selalu menjungjung tinggi toleransi terap bhineka tunggal ika ganjar mahfud hebat 3gm coblos3
9,TXT0010,ganjarmahfud harap baru tumbuh ekonomi happy new year ganjarmahfud2024 ganjarmahfudm3nang l3bihbaik
10,TXT0011,diplomasi ganjar 3kali lipat anis anis tanya nilai wo pancing anis keluarin blunder angka 11itu hina beda wajar dgan angka 5
11,TXT0012,malumaluin gemoy minyak goreng cara kampanye lebih hormat u masyarakat demokrasi masyarakat demokrasi diukurukur sembako rupiah contoh desak anies hormat
12,TXT0013,saking pen junjung mrk brkuasa ap sj dlanggar sj mlempem letoy hdapi planggaran mrk tak bretika aminajadulu aniesmuhaimin2024
13,TXT0014,manifesto gera rakyat ubah lintas profesi pantura jawa tengah kompak dukung aniesmuhaimin amin
14,TXT0015,masyaallah gegap gempita santriwansantriwati sambut hadir ganjar ponpes nawawi berjan purworejo 31122023 semarak baris santri kunjung ganjar pranowo turut dapat doa baik hajat jadi kepala negara beri sejahtera rakyat indonesia kabul tuhan maha esa aamiin
15,TXT0016,sesi saling tanya antar capres guna ganjar anies kompak sikat prabowo anies tanya prabowo hubung etika pimpin negara tahan negara sini anies maksud serang etika jokowi soal pencawapresan gibran kait ada kader gerindra jadi rekan kemhan ialah glenny kairupan yudi magio yusuf prasetyo had angga raka prabowo komisaris pt tmi prabowo jawab jangan hasut sesat rakyat ambisi pribadi prof anies baswedan prabowo dapat anies tak layak bicara etika ganjar prabowo jelas layak alutsista beli layak 15 tahun pakai banding beli alutsista baru nominal besar urus beli makan waktu bertahuntahun prabowo beli baru guna 3 tahun lanjut
16,TXT0017,tuju jgn pajak naik 23 amblas uang generasi z dukung nyata ganjarmahfud pilih ganjarmahfud jawab ganjarmahfud2024 ganjarmahfudsatset ganjarpresiden ganjarsikatkorupsi ganjaruntuksemua
17,TXT0018,ganjarmahfud harap tingkat investasi riset inovasi industri unggul jadi nyata happy new year ganjarmahfud2024 3mandatganjarmahfud l3bihbaik
18,TXT0019,kampanye politik anies pilgub dki pengaruh dinamika masyarakat mana generasi tua pendam benci sulit baik generasi muda dampak kohesi sosial antar kelompok usia populasi
19,TXT0020,anies kata bansos asal uang pajak rakyat bukan asal pribadi orang penting masyarakat
20,TXT0021,upaya berantas korupsi anies kembali kuat kpk lewat revisi uu tempovideo
21,TXT0022,taufikdamas netizengansta qt netizengan kakekhalal antikorupsi setya novanto sebut ganjar pranowo terima duit ektp us 500 ribu gqpjrpvqw9 ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 nelayansejahtera
22,TXT0023,capres cawapres ganjar pranowo mahfud md bersamasama buka jalan nelayan jebak kredit macet hasil lang tuju bebas finansial nelayanbukajalan ganjarpranowopilihanumat ganjarmahfudrebound jnk
23,TXT0024,sebgai negara pulau bagi pasifik utara punya 3 selatan 2 bagi barat 3 timur 2 ngra samudra colek pak
24,TXT0025,hadir sosokcapresnomor urut tiga milu 2024 ganjar pranowo desa karanganyar kabupaten rembang buat nelayan tempat suka cita senang mengetahuiganjar pranowomembawa program unggul upa hapus kredit macet utang nelayan ganjar menyebututangyang milik nelayan besar bantu lunas perintah pihak hitung jumlah kredit macet sektor ikan indonesia ganjar kata jumlah kredit macet tidak banyak rp 190 miliar ganjarmahfud ganjarmahfud2024 sahabatganjar
25,TXT0026,abah online roket figur pak anies makin populer kalang anak anak milenial anakanak genz gagas gaya komunikasi pak anies hasil mikat anak anak muda utama anak anak genz beri warna baru kancah berpoltikan
26,TXT0027,habis debat soal pesawat bekas prabowo teken kontrak msn indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan
27,TXT0028,ganjar pranowo mahfud md bela sejahtera rakyat ganjar mahfud hebat coblos3 3gm pimpin indonesia ganjarmahfudm3nangdebat
28,TXT0029,ganjar pranowo bukan cuma pimpin mikirin penting diri sendiri penting rakyat bebas dapat masyarakat ganjarpranowopilihanumat jnk ganjarmahfudrebound
29,TXT0030,duduk sila acara jawab klarifikasi mengclearkan tuduh isu culi langgar ham alamat dia asumsi isu langgar ham culi muncul pilpres
30,TXT0031,weeleh isue 5 tahun muncul cyber hti dkk era orba militer adlah alat dikedepankn stabilitas politik perintah otoriter sngt logis krusuhan bgitu masif prabowo brtanggung jawab makanya pernah adil
31,TXT0032,padahal tnp usung anies dki partai gurem emang curut2 geri dra layak gubernur
32,TXT0033,byangin orang lebih marah anies gagal capai target dp 0 banding jokowi gagal tepat janji impor kuat kpk bahas janji gw hingga pernah dapet jwbn haters anies se kritia thdp janji owi
33,TXT0034,bubarin fpi kan perintah pusat bukan anies bayang kayak apa jakarta anies gubernur fpi bubar dukung sila jangan denial anies dapat untung ormas diskriminatif anies bukan manusia sempurna
34,TXT0035,ibarat cak imin belimbing matang pohon anies sindir gibran
35,TXT0036,prabowo nilai korupsi rusak hidup bangsa bahaya selamat negara salah satu tawar naik gaji jabat
36,TXT0037,pilih jauh radikalisme dekat solusi pilih ganjar pranowo jnk ganjarpranowopilihanumat ganjarmahfudrebound jnkganjar2024
37,TXT0038,sepakat 2024 asal bukan prabowo silah retweet kabar kan seluruh nusantara indonesia butuh capres culik pelangar ham berat cawapres usak demokrasi konstitusi cukup asalbukanprabowo
38,TXT0039,mantap korupsi babat sama pak anies
39,TXT0040,etika pimpin mulai lingkung keluarga wowo sindir pak anies pak anies tetap senyum baper gilir balik sindir pak anies kata dukung wowo debat malah nyerang personal memang lucu lihat laku dukung wowo
40,TXT0041,gambar kritik perintah kritik pak prabowo menhan sebut kritik personal replyannya
41,TXT0042,goganjargo ganjar optimis capai tumbuh ekonomi 7 sahabatganjar ganjar menangkanganjar generasigotongroyong ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 perempuan maju
42,TXT0043,ganjar pranowo belum pernah jabat anggota dpr usung pdi juang tunjuk komitmen semangat tinggi layan masyarakat meski milik alam legislatif terus upaya langsung interaksi masyarakat meski hadap tantang berat ganjar tetap gigih komitmen beri kontribusi positif pdiperjuangan ganjaruntuksemua ganjarpresiden menangkanganjar ganjarmahfud ganjarmahfud2024 ganjarsatset mahfudtastes
43,TXT0044,kawasan ekonomi khusus bakal peluang besar buat investasi dukung ganjarmahfud happy new year ganjarmahfud2024 3mandatganjarmahfud l3bihbaik
44,TXT0045,buka bijak perintah hak warga indonesiasentris 02melanjutkan anakmudaindonesiaemas prabowo gibran promosi transparansi indonesiasentris 02melanjutkan anakmudaindonesiaemas menangseputaran
45,TXT0046,program pasang capres cawapres ganjar pranowo mahfud md solusi jitu buat dorong tumbuh ekonomi desa jnk ganjarpranowopilihanumat
46,TXT0047,inisiatif ganjarmahfud beri harap baru tumbuh ekonomi adil daya umkm tulang punggung ekonomi rakyat happy new year ganjarmahfud2024 ganjarmahfudm3nang l3bihbaik
47,TXT0048,tepat investasi masa depan indonesia sama ganjarmahfud happy new year ganjarmahfud2024 3mandatganjarmahfud l3bihbaik
48,TXT0049,ganjar mahfud hebat coblos3 3gm ganjarmahfud2024 betul pak sih indonesia korupsi pak ganjar mahfud moga indonesia lebih maju ganjar mahfud hebat 3gm coblos3
49,TXT0050,masyarakat jakarta harap pak ganjar pranowo mahfud md terus satu bawa maju sejahtera ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 sikat kkn
50,TXT0051,ainunnajib lebih tegang kali nembak perintah jokowi mulu ganjar malah kg mode cari aman mahfud hebat mahfudlebihbaik3 ganjarmahfud2024 3mandatganjarmahfud l3bihbaik happy new year
51,TXT0052,partisipasi aktif warga negara tonggak demokrasi sehat indonesiasentris 02melanjutkan anakmudaindonesiaemas prabowo gibran dorong libat semua indonesiasentris 02melanjutkan anakmudaindonesiaemas menangseputaran
52,TXT0053,pak tahu pernah nyata dukung kpd aniez atau ganjar pernah kata drpd negeri serah kpd mantan jahat ham amp demokrasi anies amp ganjar opsi baik pilih rakyat mohon koreksi salah
53,TXT0054,algoritma instagram dorong popularitas kampanye anies konten reels tembus juta hari
54,TXT0055,pasang duet capres cawapres ganjar pranowo prof mahfud md fokus bikin regulasi hukum bikin investor mikir kali masuk indonesiajn18a jnk ganjarmahfudrebound ganjarpranowopilihanumat
55,TXT0056,ganjar yakin beasiswa cipta generasi terus unggul debatcapres ganjarmahfud2024 ganjarmahfudm3nangdebat coblos74
56,TXT0057,ngomongin jokowi bantu gubernur jkt lewat prabowo
57,TXT0058,acara konsolidasi 45 hari tuju menang ganjarmahfud 30122023 selaku cawapres 03 mahfud md komitmen akn hadirkn 21 program unggul wujud sejahtera rakyat indonesia tarik program dibw ganjarmahfud lebih bawa maslahat
58,TXT0059,kata pak prabowo perlu jatuh lihat lebih unggul pemiludamai kitamudaloginpakbowo palingjelas 02 paling pas indonesiakuatindonesiamaju diplomasiprogresifprabowo 02melanjutkan
